Name,Type,Diet,Era,Image
Procompsognathus,Small Theropod,Carnivore,Late Triassic,
Prosaurolophus,Euornithopod,Herbivore,Late Cretaceous,
Protarchaeopteryx,Large Theropod,Carnivore,Early Cretaceous,
Protoceratops,Ceratopsian,Herbivore,Late Cretaceous,
Protohadros,Euornithopod,Herbivore,Late Cretaceous,
Psittacosaurus,Ceratopsian,Herbivore,Early Cretaceous,
Quaesitosaurus,Sauropod,Herbivore,Late Cretaceous,
Rebbachisaurus,Sauropod,Herbivore,Early Cretaceous,
Rhabdodon,Euornithopod,Herbivore,Late Cretaceous,
Rhoetosaurus,Sauropod,Herbivore,Mid Jurassic,
Rinchenia,Small Theropod,Omnivore,Late Cretaceous,
Riojasaurus,Sauropod,Carnivore,Late Triassic,
Rugops,Large Theropod,Carnivore,Late Cretaceous,
Saichania,Armored Dinosaur,Herbivore,Late Cretaceous,
Saltasaurus,Sauropod,Herbivore,Late Cretaceous,
Saltopus,Small Theropod,Carnivore,Late Triassic,
Sarcosaurus,Small Theropod,Carnivore,Early Jurassic,
Saurolophus,Euornithopod,Herbivore,Late Cretaceous,
Sauropelta,Armored Dinosaur,Herbivore,Early Cretaceous,
Saurophaganax,Large Theropod,Carnivore,Late Jurassic,
Saurornithoides,Small Theropod,Carnivore,Late Cretaceous,
Scelidosaurus,Armored Dinosaur,Herbivore,Early Jurassic,
Scutellosaurus,Armored Dinosaur,Herbivore,Early Jurassic,
Secernosaurus,Euornithopod,Herbivore,Late Cretaceous,
Segisaurus,Small Theropod,Carnivore,Mid Jurassic,
Segnosaurus,Large Theropod,Carnivore,Late Cretaceous,
Shamosaurus,Armored Dinosaur,Herbivore,Early Cretaceous,
Shanag,Small Theropod,Carnivore,Early Cretaceous,
Shantungosaurus,Euornithopod,Herbivore,Late Cretaceous,
Shunosaurus,Sauropod,Herbivore,Mid Jurassic,
Shuvuuia,Small Theropod,Omnivore,Late Cretaceous,
Silvisaurus,Armored Dinosaur,Herbivore,Early Cretaceous,
Sinocalliopteryx,Small Theropod,Carnivore,Early Cretaceous,
Sinornithosaurus,Small Theropod,Carnivore,Early Cretaceous,
Sinosauropteryx,Small Theropod,Carnivore,Early Cretaceous,
Sinovenator,Small Theropod,Carnivore,Early Cretaceous,
Sinraptor,Large Theropod,Carnivore,Mid Jurassic,
Sonidosaurus,Sauropod,Herbivore,Late Cretaceous,
Spinosaurus,Large Theropod,Carnivore,Late Cretaceous,
Staurikosaurus,Large Theropod,Carnivore,Late Triassic,
Stegoceras,Euornithopod,Herbivore,Late Cretaceous,
Stegosaurus,Armored Dinosaur,Herbivore,Late Jurassic,
Stenopelix,Ceratopsian,Herbivore,Early Cretaceous,
Struthiomimus,Small Theropod,Omnivore,Late Cretaceous,
